Anthony Bourdain,KEYSHYsL0cs,Chef,4:46,M,?
Richard Brandon,-Ri1UzEmNRU,Investor,6:38,M,?
John Mellencamp,-8akNfZ9V3c,Singer-songwriter,7:08,M,Cruz
Susan Sarandon,1PXg-mj3EAQ,Actress,5:19,F,?
Natalie Portman,7bD9pBExomY,Actress,4:24,F,?
Donatella Versace,oAcz1YI96Eo,Fashion Desiner,3:20,F,?
Rachael Ray,OC20UF4fX8w,Television Personality,5:25,F,?
Toni Morrison,DUr_XoMCPFA,American novelist,6:17,F,?
Jihoon Jung (Rain),QAjqR8pNVD0,Entertainer,4:22,M,?
Bode Miller,luWaR5ZCZjo,Alpine skier,4:46,M,?
Madeleine Albright,XzDPPNCsjk8,Former United States Secretary of State,7:12,M,?
Randy Pausch,JdEgcTE4i24,Professor,5:07,M,?
Pete Sampras,WYN9Z59dePM,American tennis player,4:57,M,?
John Woo,zZ4iKjpLefc,Film Director,5:51,M,?
Nancy Pelosi,aiZVaY-28Ms,Minority leader,6:55,F,Carney
Queen Latifah,sAJmfZrTX14,Singer-songwriter,6:05,F,Cruz
Annie Leibovitz,xRhbqtV6RcA,Photographer,5:52,F,Luscombe
Magic Johnson,Lsn9t4hOPzo,Basketball Player,6:43,M,Gregory
Viggo Mortensen,dWexFvaC5n4,Actor,6:06,M,Steefy?
will.i.am,CawncbPmOQo,Musician,5:51,M,Statement
Hugh Hefner,8OJfR-qOZxw,Publisher,6:47,M,Statement
Smokey Robinson,zxBN84FW4kU,Singer,6:26,M,Statement
Mickey Rourke,akY2r2PJC_g,Actor,5:59,M,Statement
Van Morrison,QVHbUPNcTiU,Singer-songwriter,6:37,M,?
Danny Boyle,A90TdG5Enrs,Film Director,5:40,M,Statement
Alan Mulally,HF53TSu4xAY,Entrepreneur,5:33,M,?
A. R. Rahman,TqUbiOgEb0w,Composer,5:57,M,Thottam
Amy Poehler,JqojsfQUQRY,Actress,5:17,F,Statement
Taylor Swift,AqouMHoy0ZU,Singer-songwriter,6:13,F,Keegan
Ellen Johnson Sirleaf,KOSCvkXKwXY,President of Liberia,6:11,M,Ratnesar
J. J. Abrams,kO9R6c7lO8M,Film Producer,6:57,M,Cruz
Jim Cramer,hiFC0GfK-kQ,American television personality,8:23,M,Fox
Larry King,BqJSmuv5egQ,Journalist,5:53,M,Cruz
Perez Hilton,Zg526fKoInA,American blogger and television personality,6:27,M,Keegan
Machael J. Fox,-UywAapwWME,Actor,6:57,M,Cruz
John Krasinski,CkbzEuaY-rE,Actor,5:37,M,Suddath
Janet Evanovich,ysHU2I5E7uM,American Writer,5:51,F,Cruz
Candace Parker,JnxazWpqVFk,Basketball Player,4:50,F,Keegan
Bill Keller,BMKqWImIKns,New York Times's executive editor,4:11,M,Luscombe
Daniel Radcliffe,pn1sSg_G50c,Actor,6:58,M,Jones
Robert Kiyosaki,tfx43J0wzlU,Rich Dad Poor Dad writer,5:26,M,?
Jeremy Piven,GMwBycbefP0,Actor,4:47,M,Alexander
Ashton Kutcher,4JP-ghKrvLM,Actor,4:14,M,Keegan
Alex Trebek,dhy9amxTK4M,Jeopardy! host,6:23,M,Alexander
Jane Goodall,t7iIT7fZFZ8,Primatologist,6:48,F,Sachs
Ron Paul,4kMxgOJK3-0,Former U.S. Representative,6:22,M,Schere
Kofi Annan,ABdBcp14Y0Q,The former U.N. head,6:24,M,Morrison
Shakira,isDjEaM_wH8,Musician,4:34,F,Cruz
Tony Hawk,7hLrt5wFlmo,Skateboarder,5:15,M,Alexander
Zac Efron,uIX09AQN0Og,Actor,4:13,M,Keegan
Dave Grohl,l3kCt66oG6U,Foo Fighters' singer,7:39,M,Alexander
Harrison Ford,GbrSGGjGpyE,Actor,6:18,M,Alexander
Michael Pollan,ghDTjfJTTBo,Author,6:55,M,McGirk
Ozzy Osbourne,PHxx-e62zVI,Vocalist,5:50,M,Morrison
James Cameron,7yekuJTfddU,Film Director,6:13,M,Keegan
Al Roker,51qlOnJ3vXA,The Today weatherman,6:51,M,Morrison
Jason Reitman,T0Gzr_KNv7M,Film Director,6:30,M,Alexander
Muhammad Yunus,7La9HnROomQ,"Bangladeshi banker, economist and Nobel Peace Prize recipient",6:11,M,Ghosh
